,id,season,week,startDate,homeTeam,homeConference,homeScore,awayTeam,awayConference,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline
113,401628330,2024,1,2024-08-31T16:45:00.000Z,Tennessee,SEC,69.0,Chattanooga,Southern,3.0,,,,,,,,
114,401628325,2024,1,2024-08-31T23:00:00.000Z,Ole Miss,SEC,76.0,Furman,Southern,0.0,,,,,,,,
115,401654844,2024,1,2024-08-31T22:00:00.000Z,Charleston Southern,Big South-OVC,21.0,The Citadel,Southern,22.0,,,,,,,,
116,401634299,2024,1,2024-08-29T23:00:00.000Z,NC State,ACC,38.0,Western Carolina,Southern,21.0,,,,,,,,
117,401634152,2024,1,2024-08-29T23:00:00.000Z,Gardner-Webb,Big South-OVC,20.0,Wofford,Southern,21.0,,,,,,,,
118,401654665,2024,1,2024-08-24T19:30:00.000Z,Tarleton State,UAC,26.0,McNeese,Southland,23.0,,,,,,,,
119,401641007,2024,1,2024-09-01T00:00:00.000Z,Louisiana Tech,Conference USA,25.0,Nicholls,Southland,17.0,,,,,,,,
120,401645318,2024,1,2024-08-30T00:00:00.000Z,Tulsa,American Athletic,62.0,Northwestern State,Southland,28.0,,,,,,,,
121,401674289,2024,1,2024-08-31T22:00:00.000Z,UNC Pembroke,Mountain East,12.0,Wingate,South Atlantic,17.0,,,,,,,,
122,401673279,2024,1,2024-08-30T00:00:00.000Z,Texas A&M-Kingsville,Lone Star,13.0,Colorado Mesa,Rocky Mountain,16.0,,,,,,,,
123,401673254,2024,1,2024-08-30T00:00:00.000Z,South Dakota Mines,Rocky Mountain,6.0,Colorado State-Pueblo,Rocky Mountain,35.0,,,,,,,,
124,401674188,2024,1,2024-09-01T00:00:00.000Z,Pittsburg State,Mid America,19.0,Ferris State,GLIAC,3.0,,,,,,,,
125,401674307,2024,1,2024-08-29T23:00:00.000Z,Bemidji State,Northern Sun,19.0,Michigan Tech,GLIAC,13.0,,,,,,,,
